,試合日,チーム名,スコア,攻撃,パス,クロス,ドリブル,シュート,ゴール,奪取,守備,セーブ,攻撃回数,シュート,チャンス構築率,ゴール,成功率,被攻撃回数,被シュート,被チャンス構築率,被ゴール,被成功率,ゴール期待値,ゴール,被ゴール期待値,被ゴール,総移動距離,相手との移動距離差,スプリント数,相手とのスプリント数差,ゴール,シュート,枠内シュート,パス,クロス,直接ＦＫ,間接ＦＫ,ＣＫ,スローイン,ドリブル,タックル,クリア,インターセプト,オフサイド,警告,退場,３０ｍライン進入,ペナルティエリア進入
home,2021-8-9-15:00,札幌,2,17.92,14.05,1.81,2.06,7.60,3.51,106.72,11.88,0.40,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.532,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
away,2021-8-9-15:00,浦和,1,15.64,13.14,1.38,1.12,5.7,2.92,91.95,13.38,0.38,110.6,9.9,9.0%,1.2,11.8%,107.6,13.0,12.0%,1.1,8.4%,1.2309999999999999,1.2,1.198,1.1,114.891km,-1.786km,164.5,-8.7,1.2,9.9,3.7,581.6,13.2,10.2,0.7,4.7,19.2,9.4,18.8,19.0,1.5,1.2,0.8,0.0,40.2,10.8
home,2021-4-16-19:00,札幌,1,17.92,14.05,1.81,2.06,7.60,3.51,106.72,11.88,0.40,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.532,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
away,2021-4-16-19:00,横浜FM,3,21.59,17.95,2.46,1.18,9.57,4.6,103.68,11.16,0.38,128.0,16.4,12.8%,1.9,11.4%,123.5,10.6,8.6%,0.9,8.6%,1.919,1.9,1.2409999999999999,0.9,121.445km,1.338km,214.0,22.2,1.9,16.4,5.7,664.4,21.4,11.2,3.0,6.2,24.7,10.1,18.2,16.7,1.6,1.9,1.3,0.0,58.5,17.4
home,2021-2-27-14:00,札幌,5,17.92,14.05,1.81,2.06,7.60,3.51,106.72,11.88,0.40,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.532,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
away,2021-2-27-14:00,横浜FC,1,11.71,9.64,1.22,0.85,5.02,2.04,86.87,13.8,0.57,115.3,9.7,8.4%,0.7,6.7%,114.7,15.2,13.2%,2.2,14.3%,0.948,0.7,1.983,2.2,116.138km,-1.025km,166.1,-12.6,0.7,9.7,3.0,431.4,13.5,10.2,2.3,3.7,24.0,8.3,18.3,21.8,1.3,1.0,1.0,0.0,32.0,7.5
home,2021-5-22-14:00,札幌,2,17.92,14.05,1.81,2.06,7.60,3.51,106.72,11.88,0.40,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.532,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
away,2021-5-22-14:00,清水,0,11.47,9.08,1.53,0.86,5.89,2.59,79.62,14.75,0.49,106.3,11.3,10.6%,1.0,8.5%,110.7,12.3,11.2%,1.4,11.3%,1.137,1.0,1.205,1.4,118.300km,0.989km,160.0,-1.0,1.0,11.3,3.4,408.7,13.1,9.8,1.0,3.8,21.6,9.3,14.6,27.1,2.0,1.1,0.6,0.0,28.8,8.8
home,2021-7-30-18:00,札幌,0,17.92,14.05,1.81,2.06,7.60,3.51,106.72,11.88,0.40,119.1,14.6,12.3%,1.3,8.7%,120.4,10.8,9.0%,1.3,12.2%,1.532,1.3,1.383,1.3,113.441km,-1.966km,170.5,-12.0,1.3,14.6,4.2,534.1,15.5,9.3,0.6,6.0,21.3,15.4,19.4,16.6,1.5,2.0,1.0,0.1,43.0,15.0
away,2021-7-30-18:00,Ｇ大阪,2,14.48,11.95,1.35,1.19,5.27,1.68,87.6,14.24,0.68,114.2,10.5,9.2%,0.7,7.1%,114.4,14.8,13.0%,1.0,6.7%,1.1179999999999999,0.7,1.5319999999999998,1.0,115.112km,-0.513km,160.2,-8.8,0.7,10.5,3.2,502.8,13.0,10.2,2.0,4.2,20.3,9.6,17.1,21.8,1.8,1.6,0.9,0.0,37.5,9.8
