,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
260,1,2.23,横浜FM,Ｇ大阪,1,2,H,61,50,12.9%,20,5.0%,65.6%,28.03,22.33,125.06,8.93,A,50,39,7.3%,10,20.0%,34.4%,10.92,6.24,130.11,25.07
474,1,2.22,Ｃ大阪,大分,1,0,H,42,48,11.1%,11,9.1%,45.2%,10.62,7.44,65.94,15.36,A,52,58,18.4%,18,0.0%,54.8%,17.71,13.01,84.66,10.36
514,1,2.23,広島,鹿島,3,0,H,49,38,9.8%,12,25.0%,36.8%,10.49,9.01,95.45,19.69,A,62,51,15.6%,19,0.0%,63.2%,23.88,16.68,77.57,10.77
54,1,2.22,仙台,名古屋,1,1,H,50,44,9.2%,12,8.3%,38.4%,7.43,5.74,113.31,17.22,A,56,50,14.3%,20,5.0%,61.6%,17.55,14.06,108.09,13.13
492,1,2.23,神戸,横浜FC,1,1,H,61,69,14.2%,17,5.9%,65.4%,26.15,22.01,103.27,10.94,A,31,39,3.7%,4,25.0%,34.6%,7.42,5.99,76.12,22.0
136,1,2.22,柏,札幌,4,2,H,56,39,17.3%,26,15.4%,49.4%,15.9,12.92,153.5,23.55,A,61,44,17.3%,27,7.4%,50.6%,24.59,15.5,106.59,13.83
312,1,2.21,湘南,浦和,2,3,H,57,47,9.5%,12,16.7%,55.3%,16.7,12.44,104.47,16.32,A,53,43,8.6%,11,27.3%,44.7%,13.8,10.34,86.99,16.55
234,1,2.22,川崎Ｆ,鳥栖,0,0,H,71,57,21.6%,24,0.0%,59.0%,28.64,21.64,91.69,9.94,A,43,29,5.0%,5,0.0%,41.0%,8.34,7.12,70.89,16.16
350,1,2.23,清水,FC東京,1,3,H,61,41,13.6%,16,6.3%,59.9%,16.52,13.85,94.04,9.09,A,59,39,10.2%,12,25.0%,40.1%,11.78,9.61,87.57,14.88
504,2,7.4,神戸,広島,0,3,H,53,51,17.5%,20,0.0%,65.8%,24.77,20.16,88.49,7.51,A,49,47,11.8%,13,23.1%,34.2%,9.51,9.36,82.16,17.88
144,2,7.4,柏,FC東京,0,1,H,56,46,8.8%,10,0.0%,54.8%,16.88,14.67,93.79,8.75,A,54,44,9.6%,11,9.1%,45.2%,13.15,10.32,80.38,11.36
360,2,7.4,清水,名古屋,1,2,H,53,42,9.4%,10,10.0%,55.3%,19.15,16.7,59.89,12.75,A,58,47,15.2%,15,6.7%,44.7%,13.83,10.6,85.42,18.17
610,2,7.4,大分,鳥栖,2,0,H,36,58,9.8%,9,22.2%,50.0%,12.96,11.87,81.08,15.03,A,42,64,13.0%,13,0.0%,50.0%,13.38,11.0,60.85,10.68
114,2,7.4,浦和,横浜FM,0,0,H,38,28,12.5%,14,0.0%,31.8%,6.33,5.1,78.4,22.77,A,72,62,13.0%,17,0.0%,68.2%,32.8,26.1,80.17,9.3
432,2,7.4,Ｇ大阪,Ｃ大阪,1,2,H,55,59,13.4%,13,7.7%,55.3%,19.65,16.63,62.22,10.41,A,41,45,11.1%,11,18.2%,44.7%,13.27,11.12,56.19,17.95
272,2,7.4,横浜FC,札幌,1,2,H,59,52,10.3%,11,9.1%,57.3%,22.19,18.85,81.28,14.44,A,48,41,11.1%,12,16.7%,42.7%,15.91,12.13,71.45,15.38
308,2,7.4,湘南,仙台,0,1,H,50,42,8.9%,11,0.0%,58.1%,18.34,15.48,84.95,17.31,A,58,50,12.2%,15,6.7%,41.9%,14.16,8.27,80.49,17.18
